timestamp,uav_id,target_id,Q_i_t,D_i_t,Psi_i_t,C_i_t,P_star,N_ij,h_ij,correction_term,P_ij_trans_opt
0.0,1,0,196608,1196608.0,0.06666665333333513,66666653333335.13,0.5179022318268507,8e-13,2.0738121759857108e-09,0.00038576299689230503,0.2
0.0,1,3,196608,1196608.0,0.06666665333333513,66666653333335.13,0.5179022318268507,8e-13,2.600811824141423e-09,0.0003075962638181619,0.2
1.0,1,0,114688.0,1114688.0,0.06940604282813273,69406042828132.75,0.46340485185724906,4.652116747773612e-10,1.921714588564239e-09,0.24208156484097487,0.2
1.0,1,3,114688.0,1114688.0,0.06940604282813273,69406042828132.75,0.46340485185724906,6.579918052620926e-10,2.5098630854048092e-09,0.2621624299303031,0.2
2.0,1,0,294912.0,1294912.0,0.072297596816826,72297596816826.05,0.5167981241536443,7.008395857752058e-10,1.7915307560188546e-09,0.3911959554256349,0.12560216872800944
3.0,1,0,425984.0,1425984.0,0.072297596816826,72297596816826.03,0.5691088323168759,1.511716668653824e-10,1.6922869729507508e-09,0.0893298059263509,0.2
3.0,1,3,425984.0,1425984.0,0.072297596816826,72297596816826.03,0.5691088323168759,6.422223831985207e-10,2.183892103231375e-09,0.29407239590649303,0.2
3.0,1,4,425984.0,1425984.0,0.072297596816826,72297596816826.03,0.5691088323168759,6.494406071149675e-10,1.6568525598047866e-09,0.3919724801532647,0.17713635216361123
5.0,1,3,237568.0,1237568.0,0.07535202905474592,75352029054745.98,0.4738912113609285,7.533802821532632e-10,3.022501174758538e-09,0.24925723385813053,0.2
7.0,1,3,221184.0,1221184.0,0.07858097140937109,78580971409371.17,0.4484027288578021,1.120343476015489e-09,2.672799268897816e-09,0.4191648392950533,0.029237889562748753
8.0,1,3,73728.0,1073728.0,0.07906837327035926,79068373270359.34,0.39182848888692834,6.44342338860577e-10,3.1911422968058095e-09,0.20191589059050571,0.18991259829642262
10.0,1,3,344064.0,1344064.0,0.08233447901180987,82334479011809.97,0.47102368065248706,6.055647093236725e-10,4.4129642954788985e-09,0.1372240219446317,0.2
10.0,1,4,344064.0,1344064.0,0.08233447901180987,82334479011809.97,0.47102368065248706,8e-13,1.6011817758086427e-09,0.0004996309676307533,0.2
11.0,1,3,81920.0,1081920.0,0.08597148984402013,85971489844020.25,0.36311587049858585,1.1591402205940945e-09,5.104414528828591e-09,0.2270858320866242,0.13603003841196165
12.0,1,3,114688.0,1114688.0,0.08856844914626222,88568449146262.34,0.3631439559436618,1.410686454875178e-09,5.12193505053564e-09,0.2754206058758304,0.08772335006783138
13.0,1,3,204800.0,1204800.0,0.09029888672148598,90298886721486.12,0.3849790508767009,8.320576902700822e-10,4.740513392571492e-09,0.1755205863512459,0.2
15.0,1,3,196608.0,1196608.0,0.09441614548218098,94416145482181.14,0.36568754605934795,4.542057888334352e-10,3.5624447455290257e-09,0.12749833928048343,0.2
17.0,1,3,434176.0,1434176.0,0.09878756400300692,98787564003007.1,0.4188945488926091,9.258289765606904e-11,2.1395937013467836e-09,0.04327125173241631,0.2
19.0,1,3,696320.0,1696320.0,0.10343306058104794,103433060581048.14,0.4732089407415594,8e-13,1.7523635606665095e-09,0.0004565262699800268,0.2
20.0,1,3,122880.0,1122880.0,0.10837445643764922,108374456437649.44,0.298958529668919,9.432139531674837e-10,1.809603426145359e-09,0.5212268829401071,0.0
21.0,1,3,221184.0,1221184.0,0.10837445643764922,108374456437649.44,0.3251312456319546,3.7430996510220563e-10,1.8044531940153293e-09,0.207436782701622,0.11769446293033262
22.0,1,3,335872.0,1335872.0,0.1114301895294728,111430189529473.03,0.3459127042322165,5.649218188473436e-10,1.788628862641219e-09,0.31584071500061733,0.03007198923159915
23.0,1,3,475136.0,1475136.0,0.11222934188565097,112229341885651.2,0.3792540089926115,2.9155034820820773e-10,1.7210421886195213e-09,0.16940337089706411,0.2
23.0,1,0,475136.0,1475136.0,0.11222934188565097,112229341885651.2,0.3792540089926115,2.4478655376998196e-10,1.906179249251609e-09,0.12841738460120597,0.2
24.0,1,0,630784.0,1630784.0,0.11222934188565097,112229341885651.2,0.4192707450709677,8e-13,2.0933079800402285e-09,0.0003821702337295948,0.2
25.0,1,0,712704.0,1712704.0,0.11222934188565097,112229341885651.2,0.4403321851122078,8e-13,2.468639282390374e-09,0.0003240651664691016,0.2
26.0,1,0,819200.0,1819200.0,0.11222934188565097,112229341885651.2,0.46771205716581987,8e-13,2.725136899904484e-09,0.0002935632334757347,0.2
26.0,1,2,819200.0,1819200.0,0.11222934188565097,112229341885651.2,0.46771205716581987,8e-13,1.6421358859291954e-09,0.00048717040219075627,0.2
27.0,1,2,139264.0,1139264.0,0.11774363682438577,117743636824386.02,0.2791846026490179,3.292271771858391e-10,1.9771502986681015e-09,0.16651600913072795,0.11266859351828995
28.0,1,0,188416.0,1188416.0,0.12100987234062072,121009872340620.98,0.2833689246257575,9.882045759580044e-10,7.636694674089731e-09,0.1294021324842079,0.15396679214154962
28.0,1,2,188416.0,1188416.0,0.12100987234062072,121009872340620.98,0.2833689246257575,2.235627433252019e-10,2.5540133860667566e-09,0.08753389647244333,0.1958350281533142
29.0,1,0,163840.0,1163840.0,0.1269805946445981,126980594644598.38,0.26446028246878067,1.6643412444112994e-09,6.7188306524611695e-09,0.2477129325772835,0.016747349891497176
30.0,1,0,270336.0,1270336.0,0.1269805946445981,126980594644598.38,0.28865945266553905,3.8781556656085756e-10,5.6280627685095825e-09,0.0689074700322787,0.2
30.0,1,2,270336.0,1270336.0,0.1269805946445981,126980594644598.38,0.28865945266553905,8e-13,4.369100395433275e-09,0.0001831040552046334,0.2
31.0,1,2,98304.0,1098304.0,0.13349072344500654,133490723445006.83,0.23739743006805622,1.1759016486131922e-09,5.353896511166441e-09,0.21963473633841332,0.017762693729642898
32.0,1,0,188416.0,1188416.0,0.13409024076931828,134090240769318.58,0.2557265703866796,5.381752940527575e-10,3.955318160442772e-09,0.1360637178154367,0.11966285257124293
32.0,1,2,188416.0,1188416.0,0.13409024076931828,134090240769318.58,0.2557265703866796,9.589962398805312e-11,5.626595261982226e-09,0.017043988330923254,0.2
33.0,1,2,131072.0,1131072.0,0.1410951907721603,141095190772160.6,0.23130369736320305,1.138167248271466e-09,5.5731771298824215e-09,0.20422233525807176,0.02708136210513129
34.0,1,0,229376.0,1229376.0,0.14208093378725198,142080933787252.28,0.24966258474112615,5.701805822285592e-10,3.241923465435098e-09,0.17587724951182193,0.07378533522930422
34.0,1,2,229376.0,1229376.0,0.14208093378725198,142080933787252.28,0.24966258474112615,1.8984151082416964e-10,5.0477204679542325e-09,0.037609354961192935,0.2
36.0,1,0,319488.0,1319488.0,0.14965300344952912,149653003449529.47,0.2544043554400821,4.6421791573730624e-10,1.9343400263743798e-09,0.23998775262248526,0.014416602817596852
36.0,1,2,319488.0,1319488.0,0.14965300344952912,149653003449529.47,0.2544043554400821,7.076384567857723e-11,3.7199820794833715e-09,0.0190226307994486,0.2
38.0,1,2,278528.0,1278528.0,0.1577728364149166,157772836414916.94,0.233820478499465,9.261628566795419e-11,2.631047830004328e-09,0.03520129304065211,0.19861918545881288
40.0,1,2,172032.0,1172032.0,0.16642850854655655,166428508546556.94,0.20319652791819176,1.392230944509804e-10,1.8219997446577149e-09,0.07641224696062467,0.1267842809575671
80.0,1,3,4874240.0,5874240.0,0.17228717620471903,172287176204719.4,0.9837919575536509,8e-13,1.6400193511380951e-09,0.0004877991222755013,0.2
81.0,1,0,147456.0,1147456.0,0.18210127449019645,182101274490196.84,0.18181411255607705,3.324482908222208e-10,1.8592477431396335e-09,0.17880795716918788,0.00300615538688917
82.0,1,3,237568.0,1237568.0,0.18210127449019645,182101274490196.84,0.19609233613123217,8e-13,1.7251315831567357e-09,0.00046373274236630597,0.19562860338886587
82.0,1,0,237568.0,1237568.0,0.18210127449019645,182101274490196.84,0.19609233613123217,9.231427248052806e-11,2.201797013487233e-09,0.04192678612744578,0.1541655500037864
84.0,1,3,253952.0,1253952.0,0.19243540029569117,192435400295691.6,0.1880184549342817,2.6117985853801236e-10,1.8627084060266063e-09,0.1402151070414409,0.0478033478928408
84.0,1,0,253952.0,1253952.0,0.19243540029569117,192435400295691.6,0.1880184549342817,1.0277862261616442e-10,3.057463328884796e-09,0.03361565178727842,0.15440280314700328
85.0,1,0,106496.0,1106496.0,0.1950789366531785,195078936653178.9,0.16366054883736844,2.155535256628806e-10,3.540572283001326e-09,0.06088098432498514,0.10277956451238329
86.0,1,0,237568.0,1237568.0,0.1950789366531785,195078936653178.9,0.1830472573814676,2.3309003857663903e-10,3.3497774253536578e-09,0.06958373915008105,0.11346351823138655
87.0,1,3,335872.0,1335872.0,0.1950789366531785,195078936653178.9,0.197587288789542,4.180668807694011e-10,2.7427868151017e-09,0.15242412515166606,0.045163163637875925
87.0,1,0,335872.0,1335872.0,0.1950789366531785,195078936653178.9,0.197587288789542,8.095315726288371e-11,3.0877086304766738e-09,0.026217874466473327,0.17136941432306865
88.0,1,0,98304.0,1098304.0,0.19762113823948294,197621138239483.34,0.16035913448371553,2.474671122837234e-10,2.8255268207191096e-09,0.08758264493158903,0.0727764895521265
89.0,1,3,147456.0,1147456.0,0.19762113823948294,197621138239483.34,0.1675356285856614,8e-13,3.327096690833181e-09,0.00024044987998219605,0.1672951787056792
